company_name,founded,city,industry,about,founders,investor,amount,series
Byju’s,2011.0,Bangalore,Edtech,Byju's is an educational technology company that develops personalized learning programs for k-12 students.,"Byju raveendran, divya gokulnath","Blackstone group, adq",50000000,
Byju's,2011.0,Bangalore,Edtech,Byju's is an educational technology company that develops personalized learning programs for k-12 students.,"Byju raveendran, divya gokulnath","Tiga investments, baron capital","150,000,000",
Bytexl,2019.0,Hyderabad,E-learning,"Bytexl is the first-ever, one-stop-shop for self-learning course work and guided training – preparing a new generation of coders for the workforce.","Sricharan tadepalli, karun tadepalli",Joseph joy,200000,
Sochcast,2020.0,Online media	#ref!,Sochcast is an audio experiences company that give the listener and creators an immersive audio experience,"Ca harvinderjit singh bhatia, garima surana, anil srivatsa","Vinners, raj nayak, amritaanshu agrawal",undisclosed,,
Camp k12,2010.0,Gurugram,Edtech,"Camp k12 is a global online school for 21st century skills, teaching coding and other steam subjects to kids age 6-18 via live, interactive, gamified online sessions",Anshul bhagi,"Matrix partners india, elevation capital",12000000,Series a
Camp k12,2010.0,Gurugram,Edtech,"Camp k12 is a global online school for 21st century skills, teaching coding and other steam subjects to kids age 6-18 via live, interactive, gamified online sessions",Anshul bhagi,"Matrix partners india, elevation capital",12000000,
Cancer clinics,2014.0,Telugana,Healthcare,"Cancer helpline is a source of information and support, helping with all the things that people affected by cancer want and need.","Sonali srungaram, sasi sunkara",Axilor,"1,500,000",Pre-series a
Candes,2015.0,New delhi,E-commerce,Candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,"Sandeep aggarwal, vipin aggarwal","Nitin passi, ruchirans jaipuria",3000000,
Hemp horizons,2017.0,Noida,Cannabis startup,Cannabis and hemp company,Rohit shah,Mumbai angels,"200,000",Seed
Capital float,2013.0,Bangalore,Fintech,Capital float is an online platform that provides working capital finance to smes in india.,"Gaurav hinduja, sashank rishyasringa","Triodos investment management, saif partners",6000000,
Captain fresh,2019.0,Bangalore,Supply chain platform,Captain fresh is a freshwater fish and seafood supply chain platform.,Utham gowda,"Matrix partners india, ankur capital","3,000,000",Seed
Careerninja,2017.0,Mumbai,Edtech,"Careerninja is a funded, early-stage ed-tech venture building a personalized learning platform to help people achieve their career goals",Shronit ladhaniai,Unitus ventures,undisclosed,Seed
Cars24,2015.0,Gurugram,Automotive,"Cars24 is proud to be a tech-first organisation, looking to make inroads into the global auto-tech market in groundbreaking ways.","Mehul agrawal, vikram chopra","Dst global, falcon edge, softbank vision fund 2",450000000,Series f
Cashbook,2020.0,Gurugram,Fintech,"Cashbook is a digital record-keeping app using which businesses can add entries, segregate records, and find overall balance instantly.","Vivek, ashutosh pathak","Jam, better tomorrow ventures",2300000,Seed
Cashfree,2015.0,Bangalore,Fintech,Cashfree is a payments and banking technology company that enables businesses in india to collect payments online and make payouts.,"Akash sinha, reeju datta","State bank of india, y combinator",undisclosed,
Cashify,2009.0,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit sethi, mandeep manocha, nakul kumar","Bessemer venture partners, cdh investments","15,000,000",
Celcius,2020.0,Mumbai,Logistics,Celcius is a asset light startup with a web and app based saas platform which brings the complete cold chain solution network online,Swarup bose,"Mumbai angels network, huddle, lumis partners",500000,
Fananywhere,2021.0,Bangalore,Financial services,Celebrity nft platform,"Varun chaudhary, amit kumar","Oasis capital, scorpio vc, deltahub capital",undisclosed,Seed
Cell propulsion,2016.0,Bangalore,Ev startup,Cell propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,"Nakul kukar, paras kaushal",Growx ventures,2000000,
Cellestial,2019.0,Hyderabad,Electronics,Cellestial e-mobility is a city-based startup working in developing electric tractors with the longest battery life.,Siddhartha durairajan,"Gurj aujla, ashik k","500,000",Pre-series a
Chalo,2014.0,Mumbai,It,Chalo is a free app that tracks buses live and tells you what time your bus will reach your stop.,"Mohit dubey, nikhil aggarwal","Amit singhal, raine ventures","7,000,000",
Edufund,2020.0,Gujarat,Fintech,Changing the way indians evaluate and plan higher education,"Arindam sengupta, eela dubey",View trade holding corp,"300,000",Pre-seed
Charge+zone,2018.0,Vadodara,Automotive,Charge+zone is a tech-driven ev charging infrastructure company specializing in b2b and b2c charging services on both dedicated and opportunity based charging using smart-grid network.,Kartikey hariyani,Venture catalysts,10000000,
Ola electric,2017.0,Bangalore,Automotive,Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish aggarwal,"Falcon edge, softbank",200000000,
Chefkart,2020.0,Gurugram,Consumer goods,"Chefkart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.","Vaibhav gupta, arpit gupta, aman gupta","Lead angels, titan capital, pravega ventures",300000,Pre-seed
Chingari,2018.0,Bangalore,Entertainment,"Chingari - bharat ka super entertainment app. a unique and fun short video app, can create interesting videos and share them with the world.",Sumit ghosh,Solana,19000000,
Chingari,2018.0,Bangalore,Social media,Chingari operates as a short video platform.,Sumit ghosh,"Fj labs, brian norgard","13,000,000",
Chqbook,2017.0,New delhi,Fintech,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.","Mohit goel, rajat kumar, sachin arora, vipul sharma","Aavishkaar venture capital, ywc venture capital",1000000,
Chqbook,2017.0,Gurugram,Fintech,"Chqbook.com is india’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.","Vipul sharma, rajat kumar, sachin arora","Aavishkaar capital, rajiv dadlani group",5000000,Pre-series b
Citymall,2019.0,Gurugram,E-commerce,Citymall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on whatsapp.,"Angad kikla, divij goyal","Waterbridge ventures, saif partners","11,000,000",Series a
Citymall,2019.0,Gurugram,E-commerce,Citymall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on whatsapp.,"Angad kikla, naisheel verdhan","General catalyst, jungle ventures",22000000,Series b
Clairco,2018.0,Bangalore,Cleantech,Clairco provides enhanced air purification and real-time insights for breathable air indoors.,Aayush jha,"Real estate accelerator program (reap), angellist","500,000",
Classplus,2017.0,Noida,Edtech,Classplus was born out of an urge to redefine classroom engagement in this country.,"Mukul rustagi, bhaswat agarwal",Tiger global,65000000,Series c
Cleardekho,2016.0,Ghaziabad,Retail,Cleardekho is india’s leading affordable eyewear brand.,"Saurabh dayal, shivi singh",Aroa ventures,4000000,Pre-series a
Cloudphysician,2017.0,Bangalore,Hospital & health care,Cloudphysician is a healthtech company that is transforming the delivery of critical care.,"Dr dhruv joshi, dr dileep raman",Elevar equity,4000000,Pre-series a
Codedamn,2020.0,New delhi,Computer software,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,Mehul mohan,Antler india,undisclosed,Pre-seed
Codingal,2020.0,Bangalore,Edtech,Coding education platform for k-12 students,"Satyam baranwal, vivek prakash","Y combinator, rebright partners",Undisclosed,
Codingal,2020.0,Bangalore,Edtech,Codingal is on a mission to inspire school kids to fall in love with coding. backed by y combinator!,"Vivek prakash, satyam baranwal",,1200000,Seed
Bambinos,2020.0,Bangalore,Edtech,Cohort based extracurricular course for kids,"Ashish gupta, ankit hetamsaria","Hnis, angels",500000,Seed
Coinshift,2021.0,Chandigarh,Blockchain,Coinshift helps businesses and decentralised autonomous organisations (dao's) manage their crypto easily,Tarun gupta,"Sequoia capital, sandeep nailwal",2500000,Seed
Coinswitch kuber,2017.0,Bangalore,Fintech,Coinswitch kuber is an india-based cryptocurrency exchange platform.,"Ashish singhal, govind soni, vimal sagar tiwari","Paradigm, kunal shah","25,000,000",Series b
Coinswitch kuber,2017.0,Bangalore,Crypto,"Coinswitch kuber is the largest crypto trading platform in india with a user base of 10m+, in just 15 months and growing every second.","Ashish singhal, govind soni, vimal sagar tiwari","Coinbase ventures, andreessen horowitz",260000000,Series c
Coinswitch kuber,2017.0,Bangalore,Cryptocurrency,Coinswitch.co is a cryptocurrency exchange aggregator platform.,"Ashish singhal, govind soni, vimal sagar tiwari","Ribbit capital, kunal shah","15,000,000",Series a
Strip finance,2021.0,Hyderabad,Financial services,Collateralised nft & defi liquidity protocol with interest rate discovery.,"Varun satyam, yuvraj chhibber, yash jejani","Old fashion research, nothing research, tenzor capital",400000,Seed
Collegedekho,2015.0,Gurgaon,E-learning,"Collegedekho.com is student’s partner, friend & confidante, to help him take a decision and move on to his career goals",Ruchir arora,"Disrupt adq, qic",35000000,Series b
Collegedekho,2015.0,Gurugram,Edtech,"Collegedekho.com is student’s partner, friend & confidante, to help him take a decision and move on to his career goals.",Ruchir arora,"Winter capital, ets, man capital",26000000,Series b
True elements,2011.0,Pune,Food and beverages,"Committed to improving the quality of life, true elements provides food that is packed with the goodness of nature!","Puru gupta, sreejith moolayil",Rp-sanjiv goenka group,"1,000,000",
Comofi medtech,2017.0,Bangalore,Heathtech,"Comofi medtech develops healthcare products using artificial intelligence, augmented reality and iot technologies","Satish kalme, kubasad gururaj",Ciie.co,"200,000",
Comofi medtech,2018.0,Bangalore,Healthtech,Comofi medtech is a healthcare robotics startup.,Gururaj kb,"Ciie.co, kiit-tbi","200,000",
Connectedh,2018.0,Gurugram,Hospital & health care,Connect different sectors of healthcare system and give the patients complete control over their information.,"Shubham gupta, rahul kumar, suresh singh","Kalaari capital, incubate fund india",2300000,Seed
The indus valley,2016.0,Chennai,Consumer goods,Consumer goodsthe indus valley is a direct to consumer (d2c) healthy kitchenware brand.,"Jagadeesh kumar, madhumitha udaykumar","Rukam capital, dsg consumer partners, the chennai angels",1100000,
Auric,2017.0,New delhi,Healthcare,Contemporary beauty & wellness brand based on ayurveda,Deepak agarwal,Venture catalysts,2000000,Pre-series a
Superbeings,2019.0,Bangalore,Computer software,"Continuous leadership development & employee engagement platform. improve leadership, culture and experience real-time.","Yasharth mishra, gaurav bhawnani, kunal mishra",Endiya partners,undisclosed,Seed
Rezo.ai,2017.0,Noida,Ai startup,Conversational ai platform - innovate the way you communicate,"Manish gupta, rashi gupta","Devesh sachdev, bhavesh manglani",Undisclosed,Seed
Windo,2020.0,Hyderabad,E-commerce,Convert instagram page into an online store in under 2-minutes. create a free online store and automate your sales.,"Silus reddy chintapalli, rakesh vaddadi",Unicorn india ventures,500000,Seed
Zerone,2018.0,Gurgaon,Fintech,"Convert smartphones into a pos machine using our zup proximity payment technology, with no additional hardware and no need for nfc.",Jaijit bhattacharya,Anthill ventures,"1,300,000",Pre-series a
Convin,2019.0,Bangalore,Saas startup,Convin is a conversation intelligence platform that helps remote sales teams to understand conversations on a deeper levels.,"Ashish santhalia, atul shree, bharat patidar, durgesh choudhary","9unicorns accelerator fund, sunder nookala","300,000",Pre-seed
Corover,2016.0,Bangalore,Information technology,Corover is the world’s first and the highest roi delivering human-centric conversational ai platform.,"Ankush sabharwal, manav gandotra, kunal bhakhri",Canbank venture capital fund,undisclosed,
Crater.club,2020.0,Bangalore,Media,"Crater is where you join 5000+ mentors, creators & experts while they stream their knowledge and skills live.","Vignesh prasad, vivan puri",Lc nueva aif,700000,Seed
Gramophone,2016.0,Indore,Agritech,"Create a difference in farming by bringing timely information, technology and right kind of inputs to achieve better yields for farmers.","Tauseef khan, harshit gupta",Z3partners,10000000,
Ultraviolette,2021.0,Bangalore,Automotive,Create and inspire the future of sustainable urban transportation through accelerated innovation.,"Subramaniam narayan, niraj rajmohan","Tvs motor, zoho",150000000,Series c
Zfw hospitality,2015.0,New delhi,Food & beverages,Creating a sustainable and scalable cloud kitchen network.,Madhav kasturia,"Mumbai angels network, expert dojo","150,000",Pre-seed
Eloelo,2015.0,Bangalore,Gaming,Creator-led social gaming & live streaming platform,"Saurabh pandey, akshay dubey","Waterbridge, lumikai",2000000,Pre-series a
Cred,2018.0,Bangalore,Fintech,Cred is a bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,Kunal shah,"Dst global, general catalyst","81,000,000",Series c
Cred,2018.0,Bangalore,Finance,Cred is a credit card payment platform that rewards users with points for paying their bills.,Kunal shah,"Tiger global, falcon edge",250000000,Series e
Cred,2018.0,Bangalore,Fintech,Cred is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal shah,"Dragoneer investment group, tiger global management","215,000,000",Series d
Credable,2017.0,Mumbai,Financial services,Credable provides liquidity programs for enterprise supply chains.,Nirav choksi,"Plutus wealth, oaks asset management",30000000,Series b
Credavenue,2017.0,Chennai,Fintech,Credavenue is an organization on a mission to deepen and power the $120trillion global enterprise debt market which would unlock a gdp multiplier and thus create massive economic value.,Gaurav kumar,"Sequoia capital, lightspeed, tvs capital funds",90000000,Series a
Credflow,2020.0,New delhi,Fintech,Credflow provides financial solutions to automate your cashflows.,Kunal aggarwal,"Stellaris venture partners, omidyar network india, flourish ventures","2,000,000",Seed
Credgenics,2018.0,New delhi,Financial services,Credgenics is india’s first of it's kind npa resolution platform backed by credible investors including accel partners and titan capital.,"Rishabh goel, mayank khera, anand agrawal","Westbridge capital, tanglin venture partners",25000000,Series a
Credr,2015.0,Bangalore,Automotive,Credr is india’s most trusted used two-wheeler consumer brand that leverages technology & processes to simplify the used two-wheeler market.,Sasidhar nandigam,"Yamaha motors, omidyar network india, eight roads ventures",6500000,
Credright,2016.0,Hyderabad,Financial services,"Credright is a new age digital lending company 100% focused on micro & small businesses, making the process of availing loans simple",Neeraj bansal,"9unicorns, spearhead capital, venture catalysts",2700000,
Crejo.fun,2020.0,Bangalore,Edtech,Crejo.fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,Vikas bansal,"Matrix partners india, 021 capital",3000000,Seed
Cropin,2010.0,Bangalore,Agritech,Cropin is a leading ai and data-led agri-tech organization that provides saas solutions to agribusinesses globally using deep learning.,Krishna kumar,"Invested development, pratithi investment trust","20,000,000",Series c
Mymobiforce,2018.0,Noida,Internet,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-india","Dheeraj khatter, himanshu kumar, kshitiz saini",Bharat inclusion,1400000,Pre-series a
Curiousjr,2020.0,Gurugram,E-learning,Curiousjr is a platform to answer kids' curiosity and prepare them for 21st-century skills.,"Amit shekhar, janishar ali, mridul ranjan sahu","Waterbridge ventures, enzia ventures",1000000,Seed
Cusmat,2016.0,Hyderabad,Computer software,Cusmat is india’s largest immersive skilling and training platform.,"Abhinav ayan, anirban jyoti chakravorty",We founder circle,100000,Pre-series a
Customerglu,2016.0,Bangalore,Crm,Customerglu is a low code interactive engagement platform to improve user stickiness.,"Prateek gupta, raman shrivastava, sumant us","Kumar aakash, amit singhal",320000,
Chupps,2016.0,Mumbai,Foootwear,D2c footwear brand,"Gaurav agarwal, yash mukhi",Venture catalysts,1100000,Pre-series a
Boingg,2019.0,Gurugram,Furniture,D2c furniture brand,"Neha indoria, dhruvan barar",Inflection point ventures,200000,Seed
Farmers fresh zone,2015.0,Kochi,Agritech,D2c health and wellness brand for fresh and safe fruits and vegetables from farmers through traceable supply chain,Pradeep ps,"Ian fund, malabar angel network, native angel network",800000,Pre-series a
Svish,2020.0,Gurugram,Consumer goods,D2c personal hygiene startup,"Ishan, jaideep mahajan",Nueva,400000,Seed
Darwinbox,2015.0,Hyderabad,Hr tech,Darwinbox is an end-to-end enterprise hr software that enables enterprises to automate entire employee lifecycle in one hr platform.,"Chaitanya peddi, jayant paleti, rohit chennamaneni","Sequoia capital india, 3one4 capital","15,000,000",
90+ my tuition app,2015.0,Bangalore,Edtech,Daskalos virtual academy pvt ltd is a company set up by a group of professionals who perform innovative work in management.,Vingish vijay,Pearl investment llc,5000000,Series a
Extraaedge,2015.0,Pune,Martech,Data science powered - admission & marketing crm automation for education enrolments,"Abhishek ballabh, sushil mundada","9unicorns accelerator fund, indian angel network","1,000,000",Pre-series a
Dealshare,2018.0,Jaipur,E-commerce,Dealshare is a social commerce startup,"Sankar bora, sourjyendu medda, vineet rao","Omidyar network, falcon edge capital","3,000,000",Debt
Dealshare,2018.0,Jaipur,E-commerce,Dealshare is a social commerce startup,"Sankar bora, sourjyendu medda, vineet rao","Tiger global management, innoven capital","9,000,000",
Deciwood,2018.0,New delhi,Consumer electronics,"Deciwood makes eco-friendly wooden speakers using latest technology of energy tube to enhance sound quality, all products are handmade by skilled people of the industry.",Ananya meena,"Shuru up, ankit kedia, arun gupta",200000,
Dehaat,2012.0,Patna,Agritech,Dehaat connects farmers to suppliers and buyers on a single platform.,"Shashank kumar, manish kumar","Prosus ventures, rtp global","30,000,000",Series c
Dehaat,2012.0,Gurugram,Information technology & services,Dehaat™ is one of the fastest growing start-ups in agri tech sector and one of the very few companies providing end-to-end solutions and services to the farming community in india.,"Amrendra singh, shyam sundar, adarsh srivastav, shashank kumar","Sofina, lightrock india, temasek",115000000,Series d
Delhivery,2011.0,Gurugram,Logistics & supply chain,Delhivery is a leading logistics and supply chain services company in india.,Sahil barua,Addition,76000000,Series i
Delhivery,2011.0,Gurugram,Logistics & supply chain,Delhivery is a leading logistics and supply chain services company in india.,Sahil barua,"Lee fixel’s venture capital firm, addition",125000000,
Delhivery,2011.0,Gurugram,Logistics,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Bhavesh manglani, kapil bharati, mohit tandon, sahil barua, suraj saharan","Fidelity, gic",270000000,Series h
Jidoka technologies,2018.0,Chennai,Software,"Deliver automation of visual inspection, retaining the power of human intelligence, to enhance quality and efficiency",Sekar udayamurthy,,"340,000",Seed
Quali55care,2018.0,Mumbai,Health care,Deliver highly durable & affordable medical equipments on rental and sale.,Harddik k patel,India accelerator’s angel investor network,Undisclosed,Seed
Moeving,2021.0,Gurugram,Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",Vikash mishra,,"1,000,000",Seed
Myre capital,2020.0,Mumbai,Commercial real estate,Democratising real estate ownership,Own rent yielding commercial properties,Aryaman vir,6000000,
Neokred,2019.0,Bangalore,Fintech,Democratizing open banking,"Tarun nazare, rohith reji","Virenxia group, rajesh jain, nitin agarwal",500000,Seed
Design cafe,2015.0,Bangalore,Design,Design cafe is on a mission to democratize good design for homes in india.,"Shezan bhojani, gita ramanan","Westbridge capital, sixth sense ventures",25000000,
Detect technologies,2016.0,Chennai,Automation,Detect technologies is a leading industrial ai company that is building innovative solutions and cutting-edge technology for the industrial ecosystem.,Daniel raj david,"Accel partners, elevation capital",12000000,
Newlink group,2016.0,Beijing,Tech startup,Developer of an energy management and transportation digital platform designed to streamline the energy supply chain,"Yang wang, zhen dai",Bain capital,"200,000,000",
Biconomy,2019.0,New delhi,Blockchain,Developer platform to enable a simplified transaction and onboarding experience for web3 projects,"Aniket jindal, sachin tomar","Mechanism capital, dacm",9000000,
Tvasta,2016.0,Chennai,Mechanical or industrial engineering,Developing new-age manufacturing and automation technologies that can increase human productivity by allowing deep personalization.,"Vidyashankar c, parivarthan reddy, adithya jain",Habitat for humanity international,400000,
Devnagri,2017.0,Noida,Translation & localization,"Devnagri is an ai powered human translation platform, working in all 22 indian languages.","Nakul kundra, himanshu sharma","Enture catalyst, ipv",600000,Seed
Digantara,2018.0,Bangalore,Spacetech,"Digantara is an indian space technology company incubated at indian institute of science (iisc), establishing a space-based surveillance platform with global realtime earth coverage","Anirudh n sharma, rahul rawat, tanveer ahmed",Kalaari capital,2500000,Seed
Digisparsh,2020.0,Mumbai,Fintech,Digisparsh is india's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,"Saurabh soni, akhilesh gandhi",Goahead ventures,undisclosed,Seed
Digit insurance,2016.0,Bangalore,Insuretech,"Digit becomes the first unicorn of 2021, valued at $1.9b.",Kamesh goyal,"Faering capital, sequoia capital india, iifl alternate asset managers",200000000,
Digit insurance,2016.0,Bangalore,Fintech,Digit insurance is a financial services company that general insurance services.,Kamesh goyal,"A91 partners, faering capital",Undisclosed,
Uvi health,2020.0,Bangalore,Healthcare,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,Mehak malik,Titan capital,330000,Pre-seed
Eshipz,2019.0,Bangalore,Saas startup,Digital shipping platform for creating best pre & post shipping experiences to brands and enterprise customers. and help grow their business by 5x with automation & cloud technology.,"Shashi s tripathi, shivadeep mahadi, ajaykumar r","Indian angel network, axilor",700000,
Canpe,2019.0,Bangalore,Computer software,"Digital-first debt collections platform that is driven by compassion, and powered by ai.",Arindam choudhury,Axilor ventures,undisclosed,Seed
Venwiz,2020.0,Bangalore,B2b service,Digitising the interactions between core industry and vendors for engineering services,"Rajesh reddy, sandesh paturi","Accel, nexus venture","300,000",Seed
Bijnis,2014.0,New delhi,B2b service,Digitizing the factories of the unorganised industries.,"Chaitanya rathi, shubham agarwal, siddharth rastogi, siddharth vij","Sequoia capital india, matrix partners india",Undisclosed,
Dista,2017.0,Pune,Computer software,Dista is an ai-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,"Nishant kumar, shishir gokhale, deepak garg",Pentathlon ventures,1200000,Seed
Stackbox,2016.0,Bangalore,Logistics & supply chain,Distribution simplified,"Shanmukha boora, sabyasachi bhattacharjee","Ecosystem ventures, cmm group",1200000,
Dotpe,2019.0,Gurugram,Fintech,Dotpe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"Anurag gupta, gyanesh sharma, shailaz nag","Payu, google","27,000,000",Series a
Dotpe,2019.0,Gurugram,Fintech,"Dotpe is an innovative offline technology platform digitising merchant's customer engagement with mobile discovery, ordering and payments.","Anurag gupta, gyanesh sharma, shailaz nag","Info edge, ruizheng investment","8,000,000",Seed
Doubtnut,2016.0,Gurugram,Edtech,"Doubtnut operates as an e-learning platform that enables users to ask study questions in physics, chemistry, and math.","Aditya shankar, tanushree nagori","Omidyar network, tencent holdings","30,000,000",Series b
Dozee,2015.0,Bangalore,Healthcare,"Dozee is india's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.","Mudit dandwate, dandwate",Prime vp,5000000,Series a
Dream sports,2008.0,Mumbai,Gaming,"Dream sports is india’s leading sports technology company with brands such as dream11, fancode, dreamx and dreamsetgo in its portfolio.","Bhavit sheth, harsh jain","Tcv, d1 capital partners, falcon edge.","400,000,000",
Dream sports,2008.0,Mumbai,Sports,"Dream sports is india’s leading sports technology company with brands such as dream11, world’s largest fantasy sports platform",Harsh jain,"Falcon edge, dst global, d1 capital, redbird capital, tiger global",840000000,
Ibsfintech,2006.0,Bangalore,Information technology & services,"Driving digitization & automation of cash & liquidity, risk, treasury & trade finance functions of the corporate.","C m grover, tm manjunath",,1000000,Pre-series a
Droom,2014.0,Gurugram,Automobile,"Droom is an ai and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in india",Sandeep aggarwal,,200000000,
Dunzo,2015.0,Bangalore,Delivery service,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,"Ankur aggarwal, dalvir suri, kabeer biswas, mukund jha","Lightbox, evolvence india fund","40,000,000",Series e
Dusminute,2017.0,Bangalore,Retail,Dusminute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva mishra,Indian angel network,"1,100,000",Pre-series a
E42,2012.0,Pune,Computer software,E42 is the world’s leading natural language processing- based ai platform driving enterprise cognition across processes.,"Animesh samuel, sanjeev menon",Pavestone ventures,5400000,Series a
Ankur capital,2011.0,Mumbai,Fintech,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion indians.,Ritu verma,,"40,000,000",
Stellaris venture partners,2015.0,Bangalore,Venture capital,Early-stage tech vc in india.,"Ritesh banglani, alok goyal, rahul chowdhri",,225000000,
Earnwealth,2014.0,Pune,Financial services,"Earnwealth is india's first social commerce fintech which enables financial consultants, mutual fund distributors, insurance agents, real estate consultants, housewives, retired people and students to earn quick money by selling loans, credit cards",Rajesh p nair,,500000,Pre-series a
Easebuzz,2015.0,Pune,E-commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,Rohit prasad,"Jitendra gupta, amrish rau","4,000,000",Series a
Beco,2018.0,Mumbai,Consumer goods,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.","Aditya ruia, akshay varma, anuj ruia",Climate angels fund,500000,Seed
Ecom express,2012.0,New delhi,E-commerce,Ecom express is an end-to-end technology-enabled logistics solutions provider to the indian e-commerce industry.,"K. satyanarayana, manju dhawan, sanjeev saxena, t. a. krishnan","Cdc group, partners group","20,000,000",
Edmingle,2016.0,Bangalore,Edtech,Edmingle is a platform for all educators who want to launch their courses and sell them online.,Gaurav doshi,"Indovation fund, mumbai angels",300000,
Valuationary,2020.0,Surat,E-learning,Edtech platform upskilling candidates to bag deserving finance job roles.,"Pratik bajaj, kunal shah, mahip gupta","Ashish jain, ajay surana",100000,Pre-seed
Edukemy,2020.0,Noida,Edtech,"Edukemy is the first edtech company in the country, in the non –stem segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an ai-based evaluation system.",Chandrahas panigrahi,"Auxano, falcon5",2000000,Pre-series a
Eduvanz,2016.0,Mumbai,Fintech,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.","Atul sashittal, raheel shah, varun chopra","Incred financial services, vivriti capital, northern arc capital","10,000,000",Debt
Edvizo,2017.0,Bangalore,Consumer services,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",Ravi nishant,Inflection point ventures,1000000,Pre-series a
Elasticrun,2015.0,Pune,E-commerce,Elasticrun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers.,"Sandeep deshmukh, saurabh nigam, shitiz bansal","Avataar venture partners, kalaari capital","75,000,000",Series d
Elda health,2020.0,Bangalore,Healthcare,"Elda health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi kulkarni, sindhuri ananth, shubham sharma","Avaana capital, orios ventures",1500000,Seed
Elda health,2020.0,Bangalore,Healthcare,"Elda health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi kulkarni, sindhuri ananth, shubham sharma","Avaana capital, orios ventures",1500000,
Euler motors,2018.0,New delhi,Automotive,Electric light commercial vehicle,Saurav kumar,"Adb ventures, jetty ventures","2,600,000",Series a
Euler motors,2018.0,New delhi,Automotive,Electric light commercial vehicle,Saurav kumar,"Jetty ventures, srinivas anumolu","4,000,000",Series a
Elucidata,2015.0,New delhi,Biotechnology,Elucidata corporation uses data analytics to transform decision-making processes in r&d labs in biotechnology and pharmaceutical companies.,"Abhishek jha, richard kibbey, swetabh pathak",Hyperplane venture capital,"5,000,000",Pre-series a
Rupifi,2020.0,Bangalore,Financial services,Embedded lending for small businesses,"Jawaid iqbal, dhruv bhushan",Alteria capital,1000000,Debt
Niro,2021.0,Bangalore,Financial services,Embedding personal credit products into leading consumer internet platforms.,"Aditya kumar, sankalp mathur",Elevar equity,3500000,Seed
Karbon card,2019.0,Bangalore,Fintech,"Empower indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.","Pei-fu hsieh, amit jangir, kartik jain, sunil sinha","Ramp, rainfall ventures, roka works, y combinator",12000000,Pre-series a
Dcodeai,2020.0,New delhi,Edtech,Empower learners to be future ready using ai,"Kartik sharma, ashish aggarwal",S chand,"500,000",
Hyperface,2021.0,Bangalore,Information technology & services,Empowering brands and fintechs to offer banking products contextually to their customers.,"Ramanathan rv, aishwarya jaishankar","Kunal shah, better capital",1300000,
Coutloot,2016.0,Mumbai,Consumer services,"Empowering local markets to sell online socially, our mission is to bring 25m sellers online by 2023","Mahima kaul, jasmeet thind","Ameba capital, 9unicorns",8000000,Pre-series
Bikayi,2019.0,Hyderabad,E-commerce,Empowering smbs in india,"Sonakshi nathani, ashutosh singla",Sequoia capital india,10000000,Series a
Shyplite,2016.0,New delhi,Logistics,Enable e-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,"Nisschal jain,  sugam jain, parinay itkan",N+1 capital,1000000,
